,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-408.33820060458095
1,AK,165.65133531554147
2,AZ,102.06333856031311
3,AR,-69.26132251470379
4,CA,1046.920283248624
5,CO,977.0248854673379
6,CT,1552.69353250346
7,DE,159.06711863225257
8,DC,1887.905814007416
9,FL,521.1192187834762
10,GA,-135.1921938311011
11,HI,313.41955037451845
12,ID,-80.02850069742445
13,IL,691.018890501421
14,IN,93.17749027074866
15,IA,106.4771140193799
16,KS,231.03013909394278
17,KY,-155.46752507593598
18,LA,-201.01898614192476
19,ME,-30.762493531920903
20,MD,578.6261938986081
21,MA,1773.4794570616941
22,MI,281.14337782281876
23,MN,666.961664965298
24,MS,-814.5589860272394
25,MO,-12.095920088249127
26,MT,214.21750164343507
27,NE,-167.7612167013479
28,NV,738.1231743363353
29,NH,843.5800696621704
30,NJ,1001.0204375795772
31,NM,-268.12422626266874
32,NY,1429.488464329821
33,NC,-206.2306511119268
34,ND,460.654943981129
35,OH,236.9445290817366
36,OK,-317.21353742451925
37,OR,490.6885766493125
38,PA,371.860160749662
39,RI,460.80401526005295
40,SC,-186.61962950825222
41,SD,251.4322598570708
42,TN,-44.885069139293336
43,TX,146.2457489311874
44,UT,152.59536590148312
45,VT,480.2921728109584
46,VA,405.22814616397176
47,WA,1126.5619091999242
48,WV,-235.59387387982795
49,WI,239.95085890081955
50,WY,848.5422178971395
