,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-325.28764447145767
1,AK,-135.20676183822383
2,AZ,-55.71683490490088
3,AR,-67.89600165018034
4,CA,206.45447056663156
5,CO,174.5207938499322
6,CT,281.25829704959796
7,DE,-107.416443525591
8,DC,703.7819829574752
9,FL,-149.96217408189833
10,GA,-214.65587943299082
11,HI,-5.55979509772526
12,ID,-243.14009536082546
13,IL,101.44593778042197
14,IN,-5.719278379592533
15,IA,-146.728256536759
16,KS,-66.03764456895902
17,KY,-134.24797593099638
18,LA,-124.93117784216909
19,ME,-444.3399193624108
20,MD,54.28941786264013
21,MA,488.713130803761
22,MI,2.010458265142604
23,MN,116.62321404080413
24,MS,-399.06108314641807
25,MO,-207.47888374185231
26,MT,-197.72061753045145
27,NE,-460.76842833715494
28,NV,244.54298411770424
29,NH,8.902499559990884
30,NJ,178.034035194866
31,NM,-150.16551806381094
32,NY,507.01397773800574
33,NC,-425.0201596181726
34,ND,16.360233054226995
35,OH,15.572435146597892
36,OK,-312.492375861653
37,OR,-1.629275961150648
38,PA,-103.59438587084777
39,RI,25.947010264997232
40,SC,-272.9204920150381
41,SD,-114.87480141219801
42,TN,-259.85129882982346
43,TX,-61.98289624788481
44,UT,-125.29587842414287
45,VT,-72.88610231115207
46,VA,-130.1026147757614
47,WA,252.30546489011348
48,WV,-189.2035259891686
49,WI,-164.51957692402505
50,WY,-67.56587413552018
