,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,TOTAL_DIST_POP,WAGE_PROPORTION,TOTAL_INC_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,ITEMIZED_DEDUCTIONS_PROPORTION,BUSINESS_DEDUCTIONS_PROPORTION,CTC,CDCTC,CTC_PROPORTION,CDCTC_PROPORTION,HOMEBUYER_CREDIT_TOTAL,HOMEBUYER_CREDIT_PROPORTION,PAYROLL_TOTAL,PAYROLL_PER_FILER,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,PEASE_LIMIT_TOTAL,PEASE_LIMIT_PER_FILER,CAPITAL_GAINS_AND_DIVIDENDS_TOTAL,CAPITAL_GAINS_AND_DIVIDENDS_PER_FILER,ITEMIZED_LIMIT_TOTAL,ITEMIZED_LIMIT_PER_FILER,BUSINESS_DEDUCTION_TOTAL,BUSINESS_DEDUCTION_PER_FILER,CTC_TOTAL,CTC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,HOMEBUYER_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,NET_TAX_CHANGE_TOTAL
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,300380,0.0008180912861045837,0.0008778001411656528,512655,0.0006936030060413741,0.001053393993649064,0.00151382339784002,147541,7506,0.0018371945370368387,0.002004701674430679,-14800601.804243185,0.001020731158913323,66510821.56030265,221.4222703252635,26685124.291435845,88.83788631545325,17292662.78096336,57.56928817152727,27397318.738634277,91.20886456699606,30443086.416457947,101.34857985371178,54194877.64267271,180.42105880109432,0.0,0.0,-14433852.055900889,-48.0519743521569,-49.27292697331109,643.4830467085782,193289437.57032272
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,280070,0.0004406002526995357,0.0005063436950877199,262767,0.00035551390523543854,0.0006704583192147311,0.0009194939468228909,134804,8153,0.0016785922040023723,0.0021775023649924495,-10449046.658305785,0.0007206239074693644,35820800.544472255,127.89945565205933,15392848.330666685,54.96071814427352,9974970.793228082,35.615991692177246,14042799.256799823,50.14031940871862,19376245.425305728,69.18358062379308,32917883.296259493,117.534485293889,0.0,0.0,-15678017.027945636,-55.978923226142165,-37.30869660551214,362.0469309832565,101398483.96048065
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,284970,0.00048722047594633065,0.0005278494092093232,284720,0.00038521549166613034,0.0007354406355618143,0.0008849171510996112,146592,8763,0.0018253774989548956,0.0023404210995251855,-13476509.79544396,0.0009294144686513076,39611024.694436684,139.0006832102912,16046622.039963424,56.309864336468486,10398633.361423666,36.490273928566744,15216011.920812149,53.39513605225866,21254234.367736433,74.5841118985733,31680034.00936608,111.16971614333467,0.0,0.0,-16851031.916581336,-59.13265226719071,-47.29097727986792,364.5261560224344,103879018.68171313
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,270680,0.00046294179704767414,0.0006298801524457432,443384,0.0005998819385954465,0.0010358111213589498,0.0010466952874740437,144711,5541,0.0018019551084047008,0.001479889685321129,-8952493.50590505,0.0006174133452348311,37637168.09997591,139.0467271315794,19148356.634350594,70.7416751675432,12408639.00318114,45.84246713159872,23695336.574520137,87.54003463322054,29934941.40727365,110.59162630143952,37471691.29157077,138.43538972798422,0.0,0.0,-10655205.734312128,-39.364584506842505,-33.074085657991176,519.7592499285319,140688433.77065504
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,322510,0.0009056748993843474,0.0008714652053667097,438957,0.0005938923734732002,0.0009601795907083185,0.0016869804709377784,179331,8199,0.0022330466346395465,0.002189788040055574,-19348143.21543137,0.0013343547045125083,73631369.31994744,228.3072441783121,26492542.243147977,82.14487068043775,17167864.545724183,53.23203790804683,23458748.75219141,72.73805076491088,27749190.171470407,86.04133258339402,60393900.85957246,187.26210306524592,0.0,0.0,-15766473.888400134,-48.886775257821874,-59.99238229956085,600.8464816229648,193778998.78822237
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,312440,0.002484851004545435,0.0025178522816780386,1601777,0.002167144263116392,0.0033079321526396717,0.003966666997920158,199788,10916,0.0024877791404797037,0.0029154441084579394,-33627976.6792802,0.0023191708054676,202018386.66954386,646.5829812749452,76542709.36301237,244.9837068333516,49601689.94905736,158.75588896766536,85602198.39309749,273.9796389485901,95599239.21128651,305.97631292819904,142006678.52554163,454.5086369400257,0.0,0.0,-20991197.580897164,-67.18473172736257,-107.63019037024772,1909.9722437951668,596751727.8513618
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,259380,0.00025928468117455825,0.00035970703136552776,263775,0.0003568776914661194,0.0004427223533530415,0.0007247624096977064,94312,6764,0.0011743819763795713,0.00180652839406463,-8095265.152282239,0.0005582941484332579,21079844.579491585,81.27012329204868,10935093.753512044,42.158584908289164,7086228.517900897,27.319872457016334,14096668.812911717,54.34755498847913,12794676.011902899,49.32792047152016,25946494.26717789,100.03274835059716,0.0,0.0,-13007004.437265337,-50.14652030713754,-31.210059188380903,273.1002249724322,70836736.35334946
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,348970,0.0009703164788456628,0.0010709832949097394,560905,0.0007588834481349776,0.0006709127839543289,0.0015601129124305098,217974,8024,0.002714232938749689,0.002143049058837166,-22777310.49814185,0.0015708489998718519,78886729.73015238,226.05590661132013,32557892.165256076,93.29710910753381,21098370.909721866,60.458981888763695,29975896.201331615,85.89820386088093,19389379.456280105,55.56173727334758,55852042.26501225,160.04826278766728,0.0,0.0,-15429953.223627597,-44.215701130835306,-65.27011060590266,571.8343897927755,199553047.00598484
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,297640,0.0004954060370406837,0.0006327905537691762,493933,0.0006682728415465255,0.0005345610792441937,0.0007185722681202171,172865,4853,0.002152531388867319,0.0012961387191596171,-18643912.77526858,0.0012857870879495572,40276510.81140758,135.31954983002143,19236832.834582955,64.63120828713531,12465973.90925277,41.8827237913344,26396777.241087757,88.68692797032575,15448815.190157197,51.90436497163418,25724887.198703773,86.42953634828577,0.0,0.0,-9332198.777949244,-31.353980573677074,-62.6391371296485,374.86119349541127,111573685.6319742
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,332810,0.0009314636980990793,0.0010648689607364013,827454,0.0011195142576605303,0.0012365432837069712,0.0011151964865484657,149918,6472,0.00186679316666885,0.0017285410654030583,-21084009.475832626,0.0014540696190229398,75727998.65545514,227.54123570642452,32372016.4063866,97.26876117420329,20977918.526507106,63.032716945125166,44220813.17759095,132.87104707668325,35736100.89913147,107.3768844059117,39924034.21843507,119.96044054696395,0.0,0.0,-12445495.67090202,-37.39519747273826,-63.35149026721741,647.3043981153562,215429376.73677167
130,AZ,3,9,520,178452,607090,34724,196376,86025,33210,315570,0.0001984417536217213,0.00027500008395998216,231100,0.0003126696407840781,0.0005283152597824241,0.0005038593181088723,181768,7001,0.002263392389966939,0.0018698263286289882,-9626090.514279936,0.0006638683113296507,16133314.569445942,51.12436090073816,8360002.552383457,26.491753184344066,5417501.654011648,17.167353214854543,12350450.810971085,39.13696108936554,15268311.007712057,48.3832779025638,18038163.588297628,57.160577964627905,0.0,0.0,-13462749.566128714,-42.66169016740728,-30.503820116867686,166.29877397221904,52478904.10241316
140,AZ,4,9,1260,368486,1331406,44167,351934,93313,58536,324030,0.0004097628943640508,0.0006031012894049054,396101,0.0005359098112687759,0.000573073895217406,0.0008881032533821424,154556,5048,0.0019245459829218025,0.0013482192982315572,-22448974.26792897,0.0015482051219261358,33313723.31179733,102.81061417707413,18334279.197909124,56.58204239702844,11881095.401276637,36.66665247439014,21168437.545116648,65.32863483355445,16561835.571783032,51.112043859466816,31794096.471080698,98.12084211671974,0.0,0.0,-9707178.947267212,-29.957654992646397,-69.28054275199509,311.3826321135922,100897314.28376728
150,AZ,5,9,3250,1502669,3295591,62082,741734,270926,158591,379070,0.0016709942812240732,0.0014928392852752664,803816,0.0010875329293660516,0.0016638691086522876,0.0024061292718519775,296691,10644,0.0036944244948048117,0.0028427983776498997,-52540482.03050128,0.003623481519344916,135851835.06351715,358.3819217123939,45382314.2723681,119.7201421172029,29408933.91992275,77.5818026220032,42957550.70995904,113.32353050876893,48085817.24005111,126.8520780859765,86139427.93230079,227.23884225156513,0.0,0.0,-20468148.31907928,-53.99569556831002,-138.6036405690276,830.4989811605728,314817248.7885384
160,AZ,6,9,10120,5340516,14571804,813821,5302735,1199885,432467,378320,0.005938747451891044,0.00660074671539377,6116556,0.008275471083321929,0.007368992217193072,0.006561352837235462,170921,8309,0.002128324516336974,0.002219166828250002,-72134285.0594141,0.004974778279959593,482820167.8387419,1276.221632054192,200662700.1479706,530.4046842566362,130034710.29325727,343.716193416307,326881107.7912162,864.033378598055,212963875.07687977,562.9199489238733,234896431.57302955,620.89350701266,0.0,0.0,-15978001.163400013,-42.234090620109995,-190.6700281756558,3965.285225465958,1500146706.498281
170,AZ,7,9,480,215342,545051,20585,110879,54641,31120,305040,0.00023946408058418347,0.00024689761116551456,131464,0.00017786586610141948,0.0003355730788697639,0.0004721500144398707,157508,6080,0.001961304567134548,0.0016238457474738249,-9728060.915673371,0.00067090075280506,19468429.751494117,63.822547047908856,7505687.379431643,24.60558411825217,4863882.939960637,15.945066023998942,7025701.71100607,23.03206697812113,9698061.979336176,31.79275498077687,16902970.51694737,55.412308277430405,0.0,0.0,-11691689.381811539,-38.32838113628225,-31.891099251486267,144.39084703871984,44044983.980691105
180,AZ,8,9,1650,584084,1516571,47125,383599,120875,67593,367600,0.0006495116514378626,0.0006869774701136142,430724,0.0005827534329601093,0.0007423435864713806,0.0010255152932530263,223817,9061,0.002786990529384877,0.0024200109075428167,-36274214.3738645,0.0025016699568182416,52805297.26189823,143.64879559819974,20884115.091453873,56.81206499307365,13533456.161238201,36.815713169853645,23018760.601924315,62.619044074875724,21453729.6490229,58.36161493205359,36713447.49845834,99.8733609860129,0.0,0.0,-17424078.53430828,-47.39956075709543,-98.67849394413629,312.0525390528375,114710513.35582307
190,AZ,9,9,3910,1960242,4997824,179931,1503259,386789,173963,361170,0.002179823481961257,0.0022639180675307017,1683190,0.0022772930016068905,0.0023754319211390183,0.0026393519589332655,155025,7570,0.0019303860154406974,0.0020217947875619826,-34418268.44576425,0.002373673685914776,177219649.0834502,490.68208622933855,68823109.25293334,190.55599649177213,44599185.930354826,123.48530035815496,89953073.56347218,249.06020312725914,68649982.52091762,190.07664678937238,94488800.1298109,261.61862870617966,0.0,0.0,-14556922.470446274,-40.30490481060518,-95.29658732941344,1369.8773695620582,494758609.56472856
210,AR,1,9,930,271515,764804,27002,132245,51311,36908,268720,0.00030192944172439457,0.00034644149008043317,159247,0.00021545522408456116,0.0003151221655878636,0.0005599650621126847,132360,5851,0.0016481592840105188,0.0015626844520508797,-6258359.340624748,0.0004316109890086033,24546863.61219328,91.34736384412503,10531821.298445169,39.192547255303545,6824897.354584534,25.397802004259205,8510481.351340165,31.670442659050927,9107030.585489258,33.89040854975163,20046749.223634113,74.60088279113617,0.0,0.0,-11251328.054766335,-41.87008058487025,-23.289518236918532,230.93984828183773,62058156.03029543
220,AR,2,9,2410,1060632,2718098,141946,706980,204613,108010,324180,0.001179441384951211,0.0012312460725946064,848926,0.0011485650691140817,0.0012566134292340732,0.0016387186073152453,167913,9427,0.002090868614808539,0.0025177621482624585,-17216665.646719486,0.0011873562514978955,95888584.59653345,295.7880948748641,37429880.60687604,115.46017831721895,24255547.630113747,74.82123397530306,45368320.230006225,139.94793087175714,36316128.10486472,112.02457926110407,58666126.14188578,180.96775292086429,0.0,0.0,-18127887.4674897,-55.91920373708958,-53.10835229415598,809.982214189866,262580034.19607076
230,AR,3,9,2640,1348979,6859916,3313371,1874092,1922533,107782,343660,0.0015000883058686704,0.0031074098996169016,5187463,0.007018443067030273,0.011807073773150633,0.0016352594105513542,204465,9101,0.0025460175884346537,0.0024306941032498815,-17427376.268686,0.0012018880185300689,121957179.2671229,354.87743486912325,94465260.94835381,274.88000043168773,61215975.02245296,178.12947396395552,277228501.1476958,806.694119617342,341224432.0440533,992.9128558576888,58542286.89773848,170.34943519099832,0.0,0.0,-17500997.543399148,-50.92532602979441,-50.71109896026887,2676.206894940732,919705261.515332
