,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0,0.0,18866001.764325377,62.80711686638716,28516164.10335946,94.93363107849878,31396584.719860416,104.52288674299359,568738.2022306339,1.8933957062075835,568738.2022306339,1.8933957062075835,-7301102.797502958,-24.306221444513476,-52536265.5194195,-174.89934589326685,-20648427.246635996,-68.74101886489112,-124593889.28861614,-414.78756671088667,-416.68372681326343,6.67679605832612,-62.40773616166531
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.0,0.0,9669978.222403929,34.527004757396114,16678953.946061557,59.55280446338971,18363696.76889606,65.56823925767151,264687.66168423754,0.9450768082416451,264687.66168423754,0.9450768082416451,-7301566.119344384,-26.070504228744188,-49594007.41547558,-177.0771857588302,-22428274.35942223,-80.0809596151756,-88751293.02355245,-316.8896812352356,-438.580128743045,5.4013603741921665,-81.1980868446756
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0,0.0,10477861.373318745,36.76829621826418,16002463.23201177,56.15490483914718,17618873.659487706,61.82711744916204,306381.8447479668,1.0751371889952164,306381.8447479668,1.0751371889952164,-6948205.994949906,-24.38223670895149,-45446730.5707689,-159.4789997921497,-24106337.32510941,-84.59254421556449,-93452899.39562568,-327.93943010010065,-439.4926179322025,5.428364389233955,-80.96225426646852
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0,0.0,16316788.729796145,60.2807327094582,22009181.733606234,81.31070538497944,24232331.403667472,89.52390794911878,501890.81129352556,1.8541850572392697,501890.81129352556,1.8541850572392697,-6847896.816281106,-25.29886514068681,-40154372.99298021,-148.34628710277897,-15242863.758807627,-56.31322505839969,-110018117.27798362,-406.45085443321864,-401.58551557704914,5.435111570858578,-73.88726254125656
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0,0.0,16153872.558471046,50.08797419760952,28326852.54102116,87.83247818988919,31188150.777487945,96.70444568381738,480996.2729764804,1.491415066126571,480996.2729764804,1.491415066126571,-5904110.225295679,-18.306750876858636,-35242344.94184059,-109.27520058863473,-22554816.812572412,-69.93524793827297,-118861468.2635383,-368.55126434386005,-328.4607355440572,7.857083501286782,-41.80440942116296
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0,0.0,58946323.95676587,188.6644602380165,74420539.02657636,238.19145764491216,81937765.190877,262.25120084136796,1689160.6932833844,5.406352238136552,1689160.6932833844,5.406352238136552,-5068972.606124726,-16.223827314443497,-27729633.216070343,-88.75186664982186,-30029074.317116775,-96.11149122108813,-97703799.44631685,-312.71219897041624,186.12043904480004,12.46416912047113,14.932438516027204
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0,0.0,9707073.207878448,37.42413913130715,11010915.750515167,42.450905044780505,12123129.462688414,46.73887525132398,280457.94720179134,1.0812628082419282,280457.94720179134,1.0812628082419282,-8443577.238153376,-32.552923271468025,-67156565.81061168,-258.91188916112145,-18607242.45886569,-71.7373832171551,-68762643.72741568,-265.10387742854374,-499.5296280343928,3.938715398257383,-126.82551987772489
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0,0.0,20641629.789271392,59.15015557002433,32837455.140138496,94.09821801340658,36154369.80075855,103.6030885198113,593718.2934553818,1.7013447959864223,593718.2934553818,1.7013447959864223,-5405421.483307144,-15.489645193876676,-23313718.553806476,-66.80722856923654,-22073405.30602281,-63.25301689550051,-85927336.2286431,-246.23129847449096,-131.52703743788965,9.095039688225349,-14.461403352441401
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0,0.0,18177021.290065493,61.07049217197115,12143704.235630792,40.799973913555945,13370341.02710865,44.921183399773724,557247.103798141,1.8722184645818472,557247.103798141,1.8722184645818472,-7576547.632230909,-25.45540798357381,-39021087.28952215,-131.10162373848323,-13350228.807344057,-44.8536110984547,-65349775.74304425,-219.55978948744877,-270.43434589349596,6.2569379115710255,-43.22151661332274
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.0,0.0,30450787.808366425,91.49601216419707,22593716.97500577,67.88773466844677,24875910.608844735,74.7450816046535,863030.0931763975,2.593161543151941,863030.0931763975,2.593161543151941,-5981253.311893162,-17.971975937901995,-33768688.38352065,-101.46536577482843,-17803972.9736515,-53.49590749572278,-49656921.07258006,-149.20501509143372,-82.82311277628568,7.61892671494246,-10.870706055467181
